"","g.start","sigma","r","mu","B","alpha","K","rho","lambda","Br","phi"
"1",0.164579262956977,0.139397866092622,0.0405759150860831,0.000929167255293578,0.212168009206653,0.676318820158485,163,0.726162928389385,0.0108943734876812,0.0529350874759257,0.00766262045130134
"2",0.142039915081114,0.182040869351476,0.0948182864347473,0.000879826886812225,0.532558471267112,0.85357675072737,105,0.349814876681194,0.0157999034784734,0.083358766422607,0.0183980923332274
"3",0.193166953185573,0.124124008323997,0.056238557677716,0.000697737093316391,0.1704286608845,0.514101791020948,366,0.494586464948952,0.0105052173137665,0.0506282426696271,0.0063099548779428
"4",0.0157221557572484,0.191323203034699,0.0718308376381174,0.000550271185580641,0.235493679600768,0.314800749591086,432,0.115024583181366,0.0154146656114608,0.0279095968510956,0.00954776209779084
"5",0.0107274149078876,0.149202874908224,0.0153549537761137,9.87395574338734e-06,0.204235088964924,0.719086564669851,53,0.749223063932732,0.00933158521074802,0.0295592632889748,0.00616002921946347
"6",0.114995643310249,0.114420116599649,0.0959011776605621,0.000210757247405127,0.314409136492759,0.292235367407557,387,0.648791917832568,0.0162160331383348,0.0649022887973115,0.0197374304849654
"7",0.0775560060050339,0.197357488935813,0.0774561025900766,0.000545143264112994,0.178503184998408,0.712512380967382,198,0.746342633385211,0.0163649214385077,0.0238411054760218,0.00114224900025874
"8",0.102077673189342,0.155177374603227,0.0613202745793387,0.000117160904221237,0.177512133331038,0.709290137980133,66,0.958687426522374,0.0179767154576257,0.0665666373958811,0.00278431793209165
"9",0.0732295943889767,0.00412049936130643,0.000884330947883427,0.000957905138609931,0.440303136082366,0.916575867857318,374,0.419642543420196,0.0162210749648511,0.0880918827420101,0.0103540577786043
"10",0.0435861664824188,0.102761969389394,0.0919925666879863,0.000881320412037894,0.356291266577318,0.726579298090655,74,0.229199955705553,0.0116232861345634,0.110562239382416,0.0118908682558686
"11",0.128576635429636,0.181247233832255,0.0644884956302121,0.000679382697213441,0.138544261991046,0.865215115656611,342,0.326266954652965,0.00283811632078141,0.0391185340518132,0.00157154234591872
"12",0.150563001306728,0.164845377765596,0.0890308546368033,0.000354259373852983,0.294416264584288,0.419884021976031,304,0.0751829575747252,0.00361200156155974,0.0446814683778211,0.00671571690123528
"13",0.0184495175722986,0.0819820681586862,0.0694479221245274,0.000198718560161069,0.443774598371238,0.39749337855028,168,0.196605881210417,0.0142667122278363,0.0922284190822393,0.0167410596972331
"14",0.061461601825431,0.151720531238243,0.0241655284771696,0.000564872165210545,0.0907810517353937,0.840812211448792,492,0.993535480694845,0.0194134059455246,0.0763657829770818,0.0026113455183804
"15",0.19841604703106,0.153209467977285,0.0280344550032169,0.00086878027790226,0.107760069728829,0.88535007298924,466,0.795638515381142,0.0112848023325205,0.0213764980481938,0.00992279498837888
"16",0.0237961997278035,0.133745765546337,0.0903363114688546,0.000624739539111033,0.118708677194081,0.685120875306893,382,0.224891107296571,0.0100461288401857,0.0629478797595948,0.0141590473661199
"17",0.105088275577873,0.107228730386123,0.0197469901992008,0.000487788744270802,0.0778675088193268,0.42824840330286,456,0.604033702518791,0.0134514203714207,0.0953682169830427,0.0130597321037203
"18",0.00825352813117206,0.0175453792791814,0.079581516678445,0.000376485642977059,0.269706411473453,0.927950309356675,227,0.569714285433292,0.0187482604803517,0.0415826371917501,0.0124554824410006
"19",0.187777820741758,0.107301431335509,0.0166232836898416,0.000857744367793202,0.414206829341128,0.657735523185693,23,0.837008063681424,0.0187278139265254,0.0436325856531039,0.0103750873357058
"20",0.0134337084833533,0.0187460996210575,0.0498780771624297,1.13353598862886e-07,0.236014729784802,0.955948714574333,234,0.584219950484112,0.00949967793654651,0.0340447995392606,0.00582723679021001
"21",0.00594667005352676,0.148869759077206,0.0521604799898341,0.000531882145442069,0.0615049382438883,0.502206656092312,367,0.400014791404828,0.0184553833678365,0.069155938019976,0.00871351987123489
"22",0.0262576452456415,0.0912924545817077,0.0334068777039647,0.000432903428794816,0.249154318775982,0.297223148634657,357,0.00297446199692786,0.0189000800391659,0.0857179820118472,0.00803097038064152
